# pin 1f70213d4922b434345f639b441681e470c7cfc1
kind/-32768	40000000
kind/-32767	40000000
kind/-32766	40000000
kind/-32765	40000000
kind/-32764	40000000
kind/-32763	40000000
kind/-32762	40000000
kind/-32761	40000000
kind/-32760	40000000
kind/-32759	40000000
kind/-32758	40000000
kind/-32757	40000000
kind/-32756	40000000
kind/-32755	40000000
kind/-32754	40000000
kind/-32753	40000000
kind/-32752	40000000
kind/-32751	40000000
kind/-32750	40000000
kind/-32749	40000000
kind/-32748	40000000
kind/-32747	40000000
kind/-32746	40000000
kind/-32745	40000000
kind/-32744	40000000
kind/-32743	40000000
kind/-32742	40000000
kind/-32741	40000000
kind/-32740	40000000
kind/-32739	40000000
kind/-32738	40000000
kind/-32737	40000000
kind/-32736	40000000
kind/-32735	40000000
kind/-32734	40000000
kind/-32733	40000000
kind/-32732	40000000
kind/-32731	40000000
kind/-32730	40000000
kind/-32729	40000000
kind/-32728	40000000
kind/-32727	40000000
kind/-32726	40000000
kind/-32725	40000000
kind/-32724	40000000
kind/-32723	40000000
kind/-32722	40000000
kind/-32721	40000000
kind/-32720	40000000
kind/-32719	40000000
kind/-32718	40000000
kind/-32717	40000000
kind/-32716	40000000
kind/-32715	40000000
kind/-32714	40000000
kind/-32713	40000000
kind/-32712	40000000
kind/-32711	40000000
kind/-32710	40000000
kind/-32709	40000000
kind/-32708	40000000
kind/-32707	40000000
kind/-32706	40000000
kind/-32705	40000000
kind/-32704	40000000
kind/-32703	40000000
kind/-32702	40000000
kind/-32701	40000000
kind/-32700	40000000
kind/-32699	40000000
kind/-32698	40000000
kind/-32697	40000000
kind/-32696	40000000
kind/-32695	40000000
kind/-32694	40000000
kind/-32693	40000000
kind/-32692	40000000
kind/-32691	40000000
kind/-32690	40000000
kind/-32689	40000000
kind/-32688	40000000
kind/-32687	40000000
kind/-32686	40000000
kind/-32685	40000000
kind/-32684	40000000
kind/-32683	40000000
kind/-32682	40000000
kind/-32681	40000000
kind/-32680	40000000
kind/-32679	40000000
kind/-32678	40000000
kind/-32677	40000000
kind/-32676	40000000
kind/-32675	40000000
kind/-32674	40000000
kind/-32673	40000000
kind/-32672	40000000
kind/-32671	40000000
kind/-32670	40000000
kind/-32669	40000000
kind/-32668	40000000
kind/-32667	40000000
kind/-32666	40000000
kind/-32665	40000000
kind/-32664	40000000
kind/-32663	40000000
kind/-32662	40000000
kind/-32661	40000000
kind/-32660	40000000
kind/-32659	40000000
kind/-32658	40000000
kind/-32657	40000000
kind/-32656	40000000
kind/-32655	40000000
