File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:10:34 EEST
Duration: 2.84s, Total samples = 2540ms (89.39%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 730ms, 28.74% of 2540ms total
Showing top 30 nodes out of 113
      flat  flat%   sum%        cum   cum%
     510ms 20.08% 20.08%      510ms 20.08%  runtime.madvise
      70ms  2.76% 22.83%       70ms  2.76%  runtime.heapSetTypeSmallHeader (inline)
      50ms  1.97% 24.80%       90ms  3.54%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      30ms  1.18% 25.98%       50ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      20ms  0.79% 26.77%       80ms  3.15%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.39% 27.17%      210ms  8.27%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.39% 27.56%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).Text
      10ms  0.39% 27.95%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.visitModifiers (inline)
      10ms  0.39% 28.35%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      10ms  0.39% 28.74%       10ms  0.39%  runtime.memclrNoHeapPointers
         0     0% 28.74%      120ms  4.72%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AwaitExpression).ForEachChild (inline)
         0     0% 28.74%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 28.74%       40ms  1.57%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 28.74%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ConstructorDeclaration).ForEachChild
         0     0% 28.74%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 28.74%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NewExpression).ForEachChild
         0     0% 28.74%       50ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 28.74%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ParenthesizedExpression).ForEachChild (inline)
         0     0% 28.74%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertySignatureDeclaration).ForEachChild
         0     0% 28.74%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 28.74%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeAliasDeclaration).ForEachChild
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeLiteralNode).ForEachChild (inline)
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeOfExpression).ForEachChild (inline)
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeReferenceNode).ForEachChild
         0     0% 28.74%       10ms  0.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*UnionTypeNode).ForEachChild (inline)
         0     0% 28.74%       70ms  2.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclaration).ForEachChild
