File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:42 EEST
Duration: 3.42s, Total samples = 3040ms (88.81%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 500ms, 16.45% of 3040ms total
Showing top 30 nodes out of 128
      flat  flat%   sum%        cum   cum%
         0     0%     0%      510ms 16.78%  runtime.systemstack
         0     0%     0%      480ms 15.79%  runtime.(*mheap).alloc.func1
         0     0%     0%      480ms 15.79%  runtime.(*mheap).allocSpan
     480ms 15.79% 15.79%      480ms 15.79%  runtime.madvise
         0     0% 15.79%      480ms 15.79%  runtime.sysUsed (inline)
         0     0% 15.79%      480ms 15.79%  runtime.sysUsedOS (inline)
      10ms  0.33% 16.12%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
         0     0% 16.12%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindChildren
         0     0% 16.12%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
         0     0% 16.12%      200ms  6.58%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 16.12%      200ms  6.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachChild (inline)
         0     0% 16.12%      200ms  6.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachStatementFunctionsFirst
         0     0% 16.12%      190ms  6.25%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 16.12%      180ms  5.92%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
         0     0% 16.12%      180ms  5.92%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
         0     0% 16.12%      120ms  3.95%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 16.12%      120ms  3.95%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 16.12%      120ms  3.95%  github.com/microsoft/TypeScript/tsc/internal/binder.BindSourceFile
         0     0% 16.12%      120ms  3.95%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile (inline)
         0     0% 16.12%      120ms  3.95%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile.func1
         0     0% 16.12%      120ms  3.95%  sync.(*Once).Do (inline)
         0     0% 16.12%      120ms  3.95%  sync.(*Once).doSlow
         0     0% 16.12%      110ms  3.62%  main.main.func1
         0     0% 16.12%      110ms  3.62%  main.main.func1.1
         0     0% 16.12%      110ms  3.62%  main.main.func1.1.3
         0     0% 16.12%      110ms  3.62%  runtime/pprof.Do
         0     0% 16.12%      100ms  3.29%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 16.12%      100ms  3.29%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindCallExpressionFlow
      10ms  0.33% 16.45%      100ms  3.29%  runtime.mallocgc
         0     0% 16.45%       80ms  2.63%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindExpressionStatement
