File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:42 EEST
Duration: 3.42s, Total samples = 3040ms (88.81%)
Showing nodes accounting for 2930ms, 96.38% of 3040ms total
Dropped 73 nodes (cum <= 15.20ms)
Showing top 40 nodes out of 247
      flat  flat%   sum%        cum   cum%
    1670ms 54.93% 54.93%     1670ms 54.93%  runtime.madvise
     220ms  7.24% 62.17%      270ms  8.88%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
     190ms  6.25% 68.42%      190ms  6.25%  runtime.(*mspan).typePointersOfUnchecked
     150ms  4.93% 73.36%      150ms  4.93%  runtime.heapSetTypeSmallHeader (inline)
     110ms  3.62% 76.97%      130ms  4.28%  runtime.tryDeferToSpanScan
      80ms  2.63% 79.61%      380ms 12.50%  runtime.scanObject
      60ms  1.97% 81.58%       60ms  1.97%  runtime.memclrNoHeapPointers
      40ms  1.32% 82.89%       70ms  2.30%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      30ms  0.99% 83.88%       50ms  1.64%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewExpressionStatement
      30ms  0.99% 84.87%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewNodeList
      30ms  0.99% 85.86%       30ms  0.99%  runtime.(*mspan).init
      30ms  0.99% 86.84%       30ms  0.99%  runtime.(*mspan).moveInlineMarks
      30ms  0.99% 87.83%       50ms  1.64%  runtime.greyobject
      30ms  0.99% 88.82%       30ms  0.99%  runtime.mmap
      30ms  0.99% 89.80%       30ms  0.99%  runtime.spanOf (inline)
      20ms  0.66% 90.46%       40ms  1.32%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      20ms  0.66% 91.12%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAssignment
      20ms  0.66% 91.78%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      20ms  0.66% 92.43%       20ms  0.66%  runtime.(*gcBits).bytep (inline)
      20ms  0.66% 93.09%      120ms  3.95%  runtime.scanObjectsSmall
      10ms  0.33% 93.42%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.33% 93.75%       40ms  1.32%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAccessExpression
      10ms  0.33% 94.08%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewStringLiteral
      10ms  0.33% 94.41%      210ms  6.91%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.33% 94.74%       80ms  2.63%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.33% 95.07%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseOptional
      10ms  0.33% 95.39%       20ms  0.66%  runtime.(*mspan).markBitsForIndex (inline)
      10ms  0.33% 95.72%       40ms  1.32%  runtime.findObject
      10ms  0.33% 96.05%      320ms 10.53%  runtime.mallocgc
      10ms  0.33% 96.38%       20ms  0.66%  runtime.wbBufFlush1
         0     0% 96.38%       20ms  0.66%  gcWriteBarrier
         0     0% 96.38%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 96.38%       60ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 96.38%      100ms  3.29%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 96.38%       50ms  1.64%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 96.38%       60ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 96.38%       30ms  0.99%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionExpression).ForEachChild
         0     0% 96.38%       40ms  1.32%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 96.38%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ModuleDeclaration).ForEachChild
         0     0% 96.38%       20ms  0.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewElementAccessExpression
