File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:17 EEST
Duration: 824.59ms, Total samples = 3830ms (464.47%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 740ms, 19.32% of 3830ms total
Showing top 30 nodes out of 108
      flat  flat%   sum%        cum   cum%
     580ms 15.14% 15.14%      580ms 15.14%  runtime.madvise
      90ms  2.35% 17.49%       90ms  2.35%  runtime.memclrNoHeapPointers
      20ms  0.52% 18.02%       20ms  0.52%  runtime.heapSetTypeSmallHeader (inline)
      10ms  0.26% 18.28%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.GetAssignmentDeclarationKind
      10ms  0.26% 18.54%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.26% 18.80%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/binder.GetContainerFlags
      10ms  0.26% 19.06%       10ms  0.26%  runtime.(*mspan).init
      10ms  0.26% 19.32%       10ms  0.26%  runtime.tryDeferToSpanScan
         0     0% 19.32%       10ms  0.26%  gcWriteBarrier
         0     0% 19.32%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 19.32%       30ms  0.78%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 19.32%       40ms  1.04%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 19.32%       70ms  1.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassExpression).ForEachChild
         0     0% 19.32%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionExpression).ForEachChild
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*GetAccessorDeclaration).ForEachChild
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ImportClause).ForEachChild (inline)
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ImportDeclaration).ForEachChild
         0     0% 19.32%       50ms  1.31%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NamedImports).ForEachChild (inline)
         0     0% 19.32%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NewExpression).ForEachChild
         0     0% 19.32%      150ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 19.32%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ParenthesizedExpression).ForEachChild (inline)
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyDeclaration).ForEachChild
         0     0% 19.32%      110ms  2.87%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 19.32%      130ms  3.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 19.32%       10ms  0.26%  github.com/microsoft/TypeScript/tsc/internal/ast.(*TypeLiteralNode).ForEachChild (inline)
         0     0% 19.32%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclaration).ForEachChild
