File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:11:21 EEST
Duration: 2.97s, Total samples = 2630ms (88.56%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 670ms, 25.48% of 2630ms total
Showing top 30 nodes out of 108
      flat  flat%   sum%        cum   cum%
     490ms 18.63% 18.63%      490ms 18.63%  runtime.madvise
      30ms  1.14% 19.77%       30ms  1.14%  runtime.memclrNoHeapPointers
      20ms  0.76% 20.53%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      20ms  0.76% 21.29%       50ms  1.90%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      20ms  0.76% 22.05%       20ms  0.76%  runtime.heapSetTypeSmallHeader (inline)
      10ms  0.38% 22.43%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).AsCallExpression (inline)
      10ms  0.38% 22.81%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).AsIdentifier (inline)
      10ms  0.38% 23.19%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      10ms  0.38% 23.57%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      10ms  0.38% 23.95%       10ms  0.38%  internal/runtime/maps.(*ctrlGroup).setEmpty (inline)
      10ms  0.38% 24.33%       10ms  0.38%  runtime.(*mspan).init
      10ms  0.38% 24.71%       10ms  0.38%  runtime.(*mspan).typePointersOfUnchecked
      10ms  0.38% 25.10%       20ms  0.76%  runtime.mapassign_faststr
      10ms  0.38% 25.48%       10ms  0.38%  runtime.rand
         0     0% 25.48%       70ms  2.66%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*BindingPattern).ForEachChild (inline)
         0     0% 25.48%       80ms  3.04%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 25.48%       90ms  3.42%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ConstructorDeclaration).ForEachChild
         0     0% 25.48%       20ms  0.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*InterfaceDeclaration).ForEachChild
         0     0% 25.48%       40ms  1.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NewExpression).ForEachChild
         0     0% 25.48%      170ms  6.46%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 25.48%       50ms  1.90%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAccessExpression).ForEachChild
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 25.48%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 25.48%      100ms  3.80%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 25.48%       10ms  0.38%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SpreadElement).ForEachChild (inline)
