File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:40 EEST
Duration: 813.79ms, Total samples = 4080ms (501.36%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 860ms, 21.08% of 4080ms total
Showing top 30 nodes out of 160
      flat  flat%   sum%        cum   cum%
     500ms 12.25% 12.25%      500ms 12.25%  runtime.madvise
     160ms  3.92% 16.18%      160ms  3.92%  runtime.memclrNoHeapPointers
      30ms  0.74% 16.91%       80ms  1.96%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      20ms  0.49% 17.40%       20ms  0.49%  runtime.heapSetTypeSmallHeader (inline)
      10ms  0.25% 17.65%       10ms  0.25%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).FlowNodeData (inline)
      10ms  0.25% 17.89%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.25% 18.14%       10ms  0.25%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).Text
      10ms  0.25% 18.38%       10ms  0.25%  github.com/microsoft/TypeScript/tsc/internal/ast.IsOuterExpression
      10ms  0.25% 18.63%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).addDeclarationToSymbol
      10ms  0.25% 18.87%      360ms  8.82%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.25% 19.12%      160ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindCallExpressionFlow
      10ms  0.25% 19.36%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
      10ms  0.25% 19.61%       10ms  0.25%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowList (inline)
      10ms  0.25% 19.85%       70ms  1.72%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      10ms  0.25% 20.10%       10ms  0.25%  runtime.(*mspan).init
      10ms  0.25% 20.34%       10ms  0.25%  runtime.(*mspan).typePointersOfUnchecked
      10ms  0.25% 20.59%       10ms  0.25%  runtime.bulkBarrierPreWrite
      10ms  0.25% 20.83%       10ms  0.25%  runtime.memequal
      10ms  0.25% 21.08%       10ms  0.25%  runtime.tryDeferToSpanScan
         0     0% 21.08%       10ms  0.25%  gcWriteBarrier
         0     0% 21.08%       30ms  0.74%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 21.08%       90ms  2.21%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 21.08%       20ms  0.49%  github.com/microsoft/TypeScript/tsc/internal/ast.(*AwaitExpression).ForEachChild (inline)
         0     0% 21.08%       20ms  0.49%  github.com/microsoft/TypeScript/tsc/internal/ast.(*BindingPattern).ForEachChild (inline)
         0     0% 21.08%      130ms  3.19%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 21.08%      130ms  3.19%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 21.08%       20ms  0.49%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ConstructorDeclaration).ForEachChild
         0     0% 21.08%       50ms  1.23%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 21.08%       20ms  0.49%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionExpression).ForEachChild
         0     0% 21.08%       20ms  0.49%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ImportClause).ForEachChild (inline)
