File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:10:34 EEST
Duration: 2.84s, Total samples = 2540ms (89.39%)
Showing nodes accounting for 1490ms, 58.66% of 2540ms total
Dropped 110 nodes (cum <= 12.70ms)
Showing top 40 nodes out of 194
      flat  flat%   sum%        cum   cum%
         0     0%     0%     1830ms 72.05%  runtime.systemstack
         0     0%     0%     1510ms 59.45%  runtime.(*mheap).alloc.func1
         0     0%     0%     1510ms 59.45%  runtime.(*mheap).allocSpan
    1480ms 58.27% 58.27%     1480ms 58.27%  runtime.madvise
         0     0% 58.27%     1480ms 58.27%  runtime.sysUsed (inline)
         0     0% 58.27%     1480ms 58.27%  runtime.sysUsedOS (inline)
      10ms  0.39% 58.66%      470ms 18.50%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseListIndex
         0     0% 58.66%      470ms 18.50%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseStatement
         0     0% 58.66%      450ms 17.72%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList
         0     0% 58.66%      450ms 17.72%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseList.func1
         0     0% 58.66%      430ms 16.93%  main.main.func1.1
         0     0% 58.66%      430ms 16.93%  runtime/pprof.Do
         0     0% 58.66%      420ms 16.54%  main.main.func1
         0     0% 58.66%      390ms 15.35%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigher (inline)
         0     0% 58.66%      390ms 15.35%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseAssignmentExpressionOrHigherWorker
         0     0% 58.66%      380ms 14.96%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBlock
         0     0% 58.66%      380ms 14.96%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDelimitedList
         0     0% 58.66%      380ms 14.96%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseFunctionBlock
         0     0% 58.66%      370ms 14.57%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseBinaryExpressionOrHigher
         0     0% 58.66%      370ms 14.57%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseLeftHandSideExpressionOrHigher
         0     0% 58.66%      370ms 14.57%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUnaryExpressionOrHigher
         0     0% 58.66%      370ms 14.57%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseUpdateExpression
         0     0% 58.66%      350ms 13.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclaration
         0     0% 58.66%      350ms 13.78%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseDeclarationWorker
         0     0% 58.66%      340ms 13.39%  github.com/microsoft/TypeScript/tsc/internal/parser.doInContext[go.shape.*uint8] (inline)
         0     0% 58.66%      330ms 12.99%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseToplevelStatement
         0     0% 58.66%      330ms 12.99%  github.com/microsoft/TypeScript/tsc/internal/parser.ParseSourceFile
         0     0% 58.66%      330ms 12.99%  main.main.func1.1.2
         0     0% 58.66%      320ms 12.60%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseSourceFileWorker
         0     0% 58.66%      310ms 12.20%  runtime.gcBgMarkWorker
         0     0% 58.66%      310ms 12.20%  runtime.gcBgMarkWorker.func2
         0     0% 58.66%      310ms 12.20%  runtime.gcDrain
         0     0% 58.66%      310ms 12.20%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 58.66%      290ms 11.42%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentList
         0     0% 58.66%      290ms 11.42%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseCallExpressionRest
         0     0% 58.66%      290ms 11.42%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseMemberExpressionOrHigher
         0     0% 58.66%      280ms 11.02%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentOrArrayLiteralElement
         0     0% 58.66%      280ms 11.02%  runtime.mallocgc
         0     0% 58.66%      260ms 10.24%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseArgumentExpression
         0     0% 58.66%      260ms 10.24%  runtime.growslice
