File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:17 EEST
Duration: 824.59ms, Total samples = 3830ms (464.47%)
Showing nodes accounting for 3730ms, 97.39% of 3830ms total
Dropped 127 nodes (cum <= 19.15ms)
Showing top 40 nodes out of 255
      flat  flat%   sum%        cum   cum%
    1930ms 50.39% 50.39%     1930ms 50.39%  runtime.madvise
     400ms 10.44% 60.84%      400ms 10.44%  runtime.memclrNoHeapPointers
     310ms  8.09% 68.93%      310ms  8.09%  runtime.(*mspan).typePointersOfUnchecked
     230ms  6.01% 74.93%      280ms  7.31%  runtime.tryDeferToSpanScan
     190ms  4.96% 79.90%      820ms 21.41%  runtime.scanObject
     100ms  2.61% 82.51%      200ms  5.22%  runtime.scanObjectsSmall
      70ms  1.83% 84.33%       70ms  1.83%  runtime.heapSetTypeSmallHeader (inline)
      50ms  1.31% 85.64%       80ms  2.09%  runtime.findObject
      40ms  1.04% 86.68%       40ms  1.04%  runtime.(*mspan).init
      40ms  1.04% 87.73%       40ms  1.04%  runtime.pthread_cond_wait
      40ms  1.04% 88.77%       40ms  1.04%  runtime.usleep
      30ms  0.78% 89.56%      120ms  3.13%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
      30ms  0.78% 90.34%       30ms  0.78%  runtime.(*mspan).moveInlineMarks
      30ms  0.78% 91.12%       30ms  0.78%  runtime.spanOf (inline)
      30ms  0.78% 91.91%       30ms  0.78%  runtime.typePointers.next
      20ms  0.52% 92.43%       40ms  1.04%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAccessExpression
      20ms  0.52% 92.95%      150ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
      20ms  0.52% 93.47%       20ms  0.52%  runtime.alignDown (inline)
      20ms  0.52% 93.99%       40ms  1.04%  runtime.greyobject
      20ms  0.52% 94.52%       20ms  0.52%  runtime.pthread_cond_signal
      20ms  0.52% 95.04%       20ms  0.52%  runtime.typePointers.nextFast (inline)
      10ms  0.26% 95.30%      180ms  4.70%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.26% 95.56%       50ms  1.31%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      10ms  0.26% 95.82%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewNodeList
      10ms  0.26% 96.08%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.26% 96.34%      160ms  4.18%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseInitializer
      10ms  0.26% 96.61%       30ms  0.78%  github.com/microsoft/TypeScript/tsc/internal/scanner.(*Scanner).Scan
      10ms  0.26% 96.87%       20ms  0.52%  runtime.(*mspan).markBitsForIndex (inline)
      10ms  0.26% 97.13%       20ms  0.52%  runtime.heapArenaOf (inline)
      10ms  0.26% 97.39%       20ms  0.52%  runtime.wbBufFlush1
         0     0% 97.39%       20ms  0.52%  gcWriteBarrier
         0     0% 97.39%       30ms  0.78%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrayLiteralExpression).ForEachChild (inline)
         0     0% 97.39%       30ms  0.78%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 97.39%       40ms  1.04%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 97.39%       70ms  1.83%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 97.39%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 97.39%       50ms  1.31%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 97.39%       30ms  0.78%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NewExpression).ForEachChild
         0     0% 97.39%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewBlock
         0     0% 97.39%       20ms  0.52%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewExpressionWithTypeArguments
