File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:40 EEST
Duration: 813.79ms, Total samples = 4080ms (501.36%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 540ms, 13.24% of 4080ms total
Showing top 30 nodes out of 160
      flat  flat%   sum%        cum   cum%
         0     0%     0%      530ms 12.99%  runtime.systemstack
         0     0%     0%      510ms 12.50%  runtime.(*mheap).alloc.func1
         0     0%     0%      510ms 12.50%  runtime.(*mheap).allocSpan
     500ms 12.25% 12.25%      500ms 12.25%  runtime.madvise
         0     0% 12.25%      500ms 12.25%  runtime.sysUsed (inline)
         0     0% 12.25%      500ms 12.25%  runtime.sysUsedOS (inline)
      10ms  0.25% 12.50%      360ms  8.82%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
      10ms  0.25% 12.75%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 12.75%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindChildren
      10ms  0.25% 12.99%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
         0     0% 12.99%      350ms  8.58%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachChild (inline)
         0     0% 12.99%      330ms  8.09%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
         0     0% 12.99%      330ms  8.09%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
         0     0% 12.99%      330ms  8.09%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachStatementFunctionsFirst
         0     0% 12.99%      270ms  6.62%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 12.99%      230ms  5.64%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile.func1
         0     0% 12.99%      220ms  5.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 12.99%      220ms  5.39%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 12.99%      220ms  5.39%  github.com/microsoft/TypeScript/tsc/internal/binder.BindSourceFile
         0     0% 12.99%      220ms  5.39%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile (inline)
         0     0% 12.99%      220ms  5.39%  main.main.func1.1
         0     0% 12.99%      220ms  5.39%  main.main.func1.1.3
         0     0% 12.99%      220ms  5.39%  runtime/pprof.Do
         0     0% 12.99%      220ms  5.39%  sync.(*Once).Do (inline)
         0     0% 12.99%      220ms  5.39%  sync.(*Once).doSlow
         0     0% 12.99%      210ms  5.15%  main.main.func1
         0     0% 12.99%      200ms  4.90%  runtime.mallocgc
         0     0% 12.99%      170ms  4.17%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbol (inline)
         0     0% 12.99%      170ms  4.17%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      10ms  0.25% 13.24%      160ms  3.92%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindCallExpressionFlow
