File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:10:34 EEST
Duration: 2.84s, Total samples = 2540ms (89.39%)
Showing nodes accounting for 2400ms, 94.49% of 2540ms total
Dropped 110 nodes (cum <= 12.70ms)
Showing top 40 nodes out of 194
      flat  flat%   sum%        cum   cum%
    1480ms 58.27% 58.27%     1480ms 58.27%  runtime.madvise
     200ms  7.87% 66.14%      200ms  7.87%  runtime.heapSetTypeSmallHeader (inline)
     120ms  4.72% 70.87%      200ms  7.87%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewIdentifier
     110ms  4.33% 75.20%      110ms  4.33%  runtime.(*mspan).typePointersOfUnchecked
      70ms  2.76% 77.95%       80ms  3.15%  runtime.tryDeferToSpanScan
      50ms  1.97% 79.92%       90ms  3.54%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newFlowNode (inline)
      50ms  1.97% 81.89%      260ms 10.24%  runtime.scanObject
      40ms  1.57% 83.46%       40ms  1.57%  runtime.memclrNoHeapPointers
      30ms  1.18% 84.65%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAccessExpression
      30ms  1.18% 85.83%       50ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).newSymbol
      30ms  1.18% 87.01%       30ms  1.18%  runtime.spanOf (inline)
      20ms  0.79% 87.80%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewNodeList
      20ms  0.79% 88.58%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewPropertyAssignment
      20ms  0.79% 89.37%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewStringLiteral
      20ms  0.79% 90.16%       80ms  3.15%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).declareSymbolEx
      20ms  0.79% 90.94%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/scanner.(*Scanner).scanASCIIWhile (inline)
      20ms  0.79% 91.73%       60ms  2.36%  runtime.scanObjectsSmall
      20ms  0.79% 92.52%       20ms  0.79%  runtime.typePointers.next
      10ms  0.39% 92.91%      210ms  8.27%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
      10ms  0.39% 93.31%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewCallExpression
      10ms  0.39% 93.70%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewVariableStatement
      10ms  0.39% 94.09%      470ms 18.50%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).parseListIndex
      10ms  0.39% 94.49%      170ms  6.69%  github.com/microsoft/TypeScript/tsc/internal/parser.(*Parser).tryParseParenthesizedArrowFunctionExpression
         0     0% 94.49%      120ms  4.72%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 94.49%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 94.49%       40ms  1.57%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ClassDeclaration).ForEachChild
         0     0% 94.49%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ConstructorDeclaration).ForEachChild
         0     0% 94.49%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*FunctionDeclaration).ForEachChild
         0     0% 94.49%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*MethodDeclaration).ForEachChild
         0     0% 94.49%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*NodeFactory).NewVariableDeclarationList
         0     0% 94.49%       50ms  1.97%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 94.49%       30ms  1.18%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ParenthesizedExpression).ForEachChild (inline)
         0     0% 94.49%       20ms  0.79%  github.com/microsoft/TypeScript/tsc/internal/ast.(*PropertyAssignment).ForEachChild
         0     0% 94.49%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 94.49%      110ms  4.33%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 94.49%       70ms  2.76%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclaration).ForEachChild
         0     0% 94.49%       90ms  3.54%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableDeclarationList).ForEachChild (inline)
         0     0% 94.49%       90ms  3.54%  github.com/microsoft/TypeScript/tsc/internal/ast.(*VariableStatement).ForEachChild
         0     0% 94.49%      190ms  7.48%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 94.49%      170ms  6.69%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
