File: go-cpu-profile
Type: cpu
Time: 2026-09-08 09:12:47 EEST
Duration: 808.72ms, Total samples = 3600ms (445.15%)
Active filters:
   tagfocus=phase=bind
Showing nodes accounting for 540ms, 15.00% of 3600ms total
Showing top 30 nodes out of 93
      flat  flat%   sum%        cum   cum%
         0     0%     0%      540ms 15.00%  runtime.(*mheap).alloc.func1
         0     0%     0%      540ms 15.00%  runtime.(*mheap).allocSpan
         0     0%     0%      540ms 15.00%  runtime.sysUsed (inline)
         0     0%     0%      540ms 15.00%  runtime.systemstack
     530ms 14.72% 14.72%      530ms 14.72%  runtime.madvise
         0     0% 14.72%      530ms 14.72%  runtime.sysUsedOS (inline)
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/ast.(*Node).ForEachChild
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/ast.visit (inline)
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bind
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindChildren
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindContainer
         0     0% 14.72%      140ms  3.89%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachChild (inline)
         0     0% 14.72%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodeList (inline)
      10ms  0.28% 15.00%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/ast.visitNodes (inline)
         0     0% 15.00%      130ms  3.61%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindEachStatementFunctionsFirst
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ArrowFunction).ForEachChild
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*CallExpression).ForEachChild
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*ObjectLiteralExpression).ForEachChild (inline)
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/ast.(*SourceFile).BindOnce.func1
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/binder.(*Binder).bindCallExpressionFlow
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/binder.BindSourceFile
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile (inline)
         0     0% 15.00%       70ms  1.94%  github.com/microsoft/TypeScript/tsc/internal/binder.bindSourceFile.func1
         0     0% 15.00%       70ms  1.94%  main.main.func1
         0     0% 15.00%       70ms  1.94%  main.main.func1.1
         0     0% 15.00%       70ms  1.94%  main.main.func1.1.3
         0     0% 15.00%       70ms  1.94%  runtime.mallocgc
         0     0% 15.00%       70ms  1.94%  runtime/pprof.Do
         0     0% 15.00%       70ms  1.94%  sync.(*Once).Do (inline)
